# n            h                    k                    l
  0     -0.13273            0.                    0.
  1     -0.28796165358324   0.                    1.0283235526008E-01
  2     -0.99015777857079  -0.30252982142510      2.3882296795977E-02
  3     -1.0499804506108   -0.19413374466744      6.9842389427609E-02
  4     -1.0530577076286   -0.13232011156270      5.8414556402486E-02
  5     -1.0862202513055   -1.0367909816775E-01   4.5882985026642E-02
  6     -1.1437960758344   -8.9497417870591E-02   3.8323239093888E-02
  7     -1.2122388695440   -8.1354654645797E-02   3.3958841392676E-02
  8     -1.2835813050683   -7.5926033358007E-02   3.1255814553650E-02
  9     -1.3541272940736   -7.1873503233373E-02   2.9422822139373E-02
  10    -1.4224009012792   -6.8618555740821E-02   2.8087652859918E-02
  11    -1.4879203781027   -6.5882299566456E-02   2.7069537929791E-02
  12    -1.5505984806631   -6.3511848720093E-02   2.6270514033631E-02
  13    -1.6104826419894   -6.1412900063622E-02   2.5629672874235E-02
  14    -1.6676551014110   -5.9522054212945E-02   2.5104749814806E-02
  15    -1.7222006224028   -5.7794355476601E-02   2.4664550240002E-02
  16    -1.7741996741891   -5.6196949962888E-02   2.4285477592323E-02
  17    -1.8237296367900   -5.4705420832743E-02   2.3949617574587E-02
  18    -1.8708675200990   -5.3301441302463E-02   2.3643463784864E-02
  19    -1.9156921305893   -5.1971164353756E-02   2.3356962543399E-02
  20    -1.9582852691282   -5.0704071384917E-02   2.3082758419285E-02
  21    -1.9987320780548   -4.9492129335240E-02   2.2815589108254E-02
  22    -2.0371207784077   -4.8329165258154E-02   2.2551800245203E-02
  23    -2.0735420247792   -4.7210398653194E-02   2.2288958647695E-02
  24    -2.1080880569068   -4.6132090293221E-02   2.2025546345142E-02
  25    -2.1408517774697   -4.5091278055365E-02   2.1760720477418E-02
  26    -2.1719258441853   -4.4085578209763E-02   2.1494126476252E-02
  27    -2.2014018322703   -4.3113036186559E-02   2.1225754018345E-02
  28    -2.2293694996134   -4.2172014842020E-02   2.0955827062500E-02
  29    -2.2559161699360   -4.1261111166778E-02   2.0684720856165E-02
  30    -2.2811262373890   -4.0379094553566E-02   2.0412900129312E-02
  31    -2.3050807880979   -3.9524861374897E-02   2.0140873811650E-02
  32    -2.3278573293344   -3.8697401852801E-02   1.9869162530942E-02
  33    -2.3495296141972   -3.7895776154970E-02   1.9598275914129E-02
  34    -2.3701675486079   -3.7119097367896E-02   1.9328697329626E-02
  35    -2.3898371673078   -3.6366519560332E-02   1.9060874215953E-02
  36    -2.4086006661692   -3.5637229579375E-02   1.8795212546286E-02
  37    -2.4265164792493   -3.4930441549540E-02   1.8532074303894E-02
  38    -2.4436393902594   -3.4245393302804E-02   1.8271777103480E-02
  39    -2.4600206694677   -3.3581344165533E-02   1.8014595299425E-02
  40    -2.4757082285211   -3.2937573669332E-02   1.7760762081758E-02
  41    -2.4907467867851   -3.2313380879419E-02   1.7510472189341E-02
  42    -2.5051780441115   -3.1708084108422E-02   1.7263884966650E-02
  43    -2.5190408559109   -3.1121020856246E-02   1.7021127565594E-02
  44    -2.5323714072429   -3.0551547864441E-02   1.6782298154960E-02
  45    -2.5452033835362   -2.9999041206777E-02   1.6547469038410E-02
  46    -2.5575681360430   -2.9462896366084E-02   1.6316689620583E-02
  47    -2.5694948407486   -2.8942528266341E-02   1.6089989181477E-02
  48    -2.5810106498544   -2.8437371243439E-02   1.5867379437582E-02
  49    -2.5921408352772   -2.7946878945822E-02   1.5648856883066E-02
  50    -2.6029089238891   -2.7470524163820E-02   1.5434404911005E-02
  51    -2.6133368244450   -2.7007798593548E-02   1.5223995721125E-02
  52    -2.6234449462797   -2.6558212533623E-02   1.5017592025548E-02
  53    -2.6332523099300   -2.6121294533194E-02   1.4815148566542E-02
  54    -2.6427766501024   -2.5696590987031E-02   1.4616613457393E-02
  55    -2.6520345111405   -2.5283665693498E-02   1.4421929366473E-02
  56    -2.6610413355216   -2.4882099384615E-02   1.4231034554309E-02
  57    -2.6698115457425   -2.4491489222546E-02   1.4043863780455E-02
  58    -2.6783586199532   -2.4111448289186E-02   1.3860349093391E-02
  59    -2.6866951618011   -2.3741605055367E-02   1.3680420515242E-02
  60    -2.6948329648803   -2.3381602846450E-02   1.3504006633138E-02
  61    -2.7027830720981   -2.3031099308479E-02   1.3331035108723E-02
  62    -2.7105558304609   -2.2689765868725E-02   1.3161433113436E-02
  63    -2.7181609414844   -2.2357287209786E-02   1.2995127700335E-02
  64    -2.7256075076575   -2.2033360742704E-02   1.2832046119129E-02
  65    -2.7329040752065   -2.1717696098459E-02   1.2672116081873E-02
  66    -2.7400586735594   -2.1410014623085E-02   1.2515265983913E-02
  67    -2.7470788515647   -2.1110048892285E-02   1.2361425089464E-02
  68    -2.7539717110001   -2.0817542235179E-02   1.2210523681679E-02
  69    -2.7607439373411   -2.0532248277529E-02   1.2062493186052E-02
  70    -2.7674018281899   -2.0253930495829E-02   1.1917266267674E-02
  71    -2.7739513194504   -1.9982361790370E-02   1.1774776907934E-02
  72    -2.7803980094544   -1.9717324074574E-02   1.1634960463233E-02
  73    -2.7867471813019   -1.9458607878598E-02   1.1497753706170E-02
  74    -2.7930038234188   -1.9206011968710E-02   1.1363094854878E-02
  75    -2.7991726485734   -1.8959342983264E-02   1.1230923590290E-02
  76    -2.8052581114548   -1.8718415086151E-02   1.1101181063559E-02
  77    -2.8112644249465   -1.8483049631447E-02   1.0973809895186E-02
  78    -2.8171955751369   -1.8253074843620E-02   1.0848754168193E-02
  79    -2.8230553353017   -1.8028325517791E-02   1.0725959413839E-02
  80    -2.8288472788717   -1.7808642723669E-02   1.0605372593268E-02
  81    -2.8345747913097   -1.7593873530590E-02   1.0486942077406E-02
  82    -2.8402410813595   -1.7383870743627E-02   1.0370617620031E-02
  83    -2.8458491913153   -1.7178492653025E-02   1.0256350331808E-02
  84    -2.8514020067068   -1.6977602791009E-02   1.0144092650052E-02
  85    -2.8569022652469   -1.6781069703423E-02   1.0033798307921E-02
  86    -2.8623525651894   -1.6588766734122E-02   9.9254223033133E-03
  87    -2.8677553731138   -1.6400571817345E-02   9.8189208658135E-03
  88    -2.8731130312155   -1.6216367276520E-02   9.7142514242587E-03
  89    -2.8784277640719   -1.6036039641632E-02   9.6113725741124E-03
  90    -2.8837016850510   -1.5859479466114E-02   9.5102440438111E-03
  91    -2.8889368022767   -1.5686581156322E-02   9.4108266625503E-03
  92    -2.8941350241301   -1.5517242815006E-02   9.3130823286221E-03
  93    -2.8992981646345   -1.5351366077668E-02   9.2169739761694E-03
  94    -2.9044279481747   -1.5188855973237E-02   9.1224655466289E-03
  95    -2.9095260143308   -1.5029620779848E-02   9.0295219555469E-03
  96    -2.9145939220985   -1.4873571892672E-02   8.9381090644306E-03
  97    -2.9196331540105   -1.4720623696408E-02   8.8481936516460E-03
  98    -2.9246451200366   -1.4570693446888E-02   8.7597433836599E-03
  99    -2.9296311611448   -1.4423701148263E-02   8.6727267887082E-03
  100   -2.9345925528310   -1.4279569451636E-02   8.5871132289244E-03
  101   -2.9395305083337   -1.4138223546433E-02   8.5028728753848E-03
  102   -2.9444461816654   -1.3999591057251E-02   8.4199766832379E-03
  103   -2.9493406705137   -1.3863601955040E-02   8.3383963678979E-03
  104   -2.9542150191249   -1.3730188458764E-02   8.2581043802127E-03
  105   -2.9590702207122   -1.3599284955160E-02   8.1790738858104E-03
  106   -2.9639072200622   -1.3470827912502E-02   8.1012787423739E-03
  107   -2.9687269157991   -1.3344755799426E-02   8.0246934790436E-03
  108   -2.9735301626941   -1.3221009014227E-02   7.9492932751749E-03
  109   -2.9783177736096   -1.3099529807891E-02   7.8750539429145E-03
  110   -2.9830905217162   -1.2980262217420E-02   7.8019519054691E-03
  111   -2.9878491422736   -1.2863151996919E-02   7.7299641805440E-03
  112   -2.9925943343821   -1.2748146562864E-02   7.6590683632968E-03
  113   -2.9973267628369   -1.2635194920613E-02   7.5892426078115E-03
  114   -3.0020470596816   -1.2524247616128E-02   7.5204656114800E-03
  115   -3.0067558258063   -1.2415256678785E-02   7.4527165991287E-03
  116   -3.0114536324313   -1.2308175561981E-02   7.3859753072355E-03
  117   -3.0161410223696   -1.2202959105803E-02   7.3202219707908E-03
  118   -3.0208185116373   -1.2099563472287E-02   7.2554373067472E-03
  119   -3.0254865905243   -1.1997946112150E-02   7.1916025014512E-03
  120   -3.0301457248350   -1.1898065712061E-02   7.1286991979307E-03
  121   -3.0347963573063   -1.1799882148428E-02   7.0667094801158E-03
  122   -3.0394389081261   -1.1703356464701E-02   7.0056158660878E-03
  123   -3.0440737766899   -1.1608450807048E-02   6.9454012893507E-03
  124   -3.0487013421136   -1.1515128403902E-02   6.8860490917432E-03
  125   -3.0533219645081   -1.1423353518220E-02   6.8275430092580E-03
  126   -3.0579359854817   -1.1333091426014E-02   6.7698671652131E-03
  127   -3.0625437295010   -1.1244308373365E-02   6.7130060542973E-03
  128   -3.0671455043882   -1.1156971537820E-02   6.6569445364189E-03
  129   -3.0717416021278   -1.1071049013110E-02   6.6016678262877E-03
  130   -3.0763322998864   -1.0986509768333E-02   6.5471614805805E-03
  131   -3.0809178603204   -1.0903323623738E-02   6.4934113937712E-03
  132   -3.0854985326611   -1.0821461219398E-02   6.4404037841606E-03
  133   -3.0900745531091   -1.0740893990374E-02   6.3881251886965E-03
  134   -3.0946461455309   -1.0661594141438E-02   6.3365624523132E-03
  135   -3.0992135220953   -1.0583534624996E-02   6.2857027209005E-03
  136   -3.1037768837327   -1.0506689112923E-02   6.2355334329642E-03
  137   -3.1083364207928   -1.0431031975909E-02   6.1860423117081E-03
  138   -3.1128923134170   -1.0356538261862E-02   6.1372173580871E-03
  139   -3.1174447322419   -1.0283183668325E-02   6.0890468424288E-03
  140   -3.1219938385718   -1.0210944537868E-02   6.0415192987859E-03
  141   -3.1265397850972   -1.0139797819519E-02   5.9946235165244E-03
  142   -3.1310827162413   -1.0069721062247E-02   5.9483485342771E-03
  143   -3.1356227683959   -1.0000692389317E-02   5.9026836345986E-03
  144   -3.1401600703961   -9.9326904906951E-03   5.8576183363802E-03
  145   -3.1446947440758   -9.8656945913411E-03   5.8131423884950E-03
  146   -3.1492269044595   -9.7996844468365E-03   5.7692457637187E-03
  147   -3.1537566599487   -9.7346403223340E-03   5.7259186550710E-03
  148   -3.1582841127750   -9.6705429800267E-03   5.6831514687670E-03
  149   -3.1628093595833   -9.6073736622360E-03   5.6409348159170E-03
  150   -3.1673324909119   -9.5451140746162E-03   5.5992595149218E-03
  151   -3.1718535926099   -9.4837463755273E-03   5.5581165760814E-03
  152   -3.1763727449911   -9.4232531670237E-03   5.5174972057145E-03
  153   -3.1808900237824   -9.3636174708861E-03   5.4773927955302E-03
  154   -3.1854055001713   -9.3048227301403E-03   5.4377949199082E-03
  155   -3.1899192407299   -9.2468527796402E-03   5.3986953333464E-03
  156   -3.1944313083960   -9.1896918516826E-03   5.3600859592379E-03
  157   -3.1989417614909   -9.1333245531002E-03   5.3219588962640E-03
  158   -3.2034506552670   -9.0777358653763E-03   5.2843064019059E-03
  159   -3.2079580408038   -9.0229111177211E-03   5.2471208997346E-03
  160   -3.2124639663154   -8.9688359954900E-03   5.2103949655675E-03
  161   -3.2169684765016   -8.9154965095879E-03   5.1741213308171E-03
  162   -3.2214716130062   -8.8628790137020E-03   5.1382928752528E-03
  163   -3.2259734146325   -8.8109701703458E-03   5.1029026235529E-03
  164   -3.2304739172531   -8.7597569509018E-03   5.0679437439914E-03
  165   -3.2349731545322   -8.7092266339195E-03   5.0334095386245E-03
  166   -3.2394711568615   -8.6593667881392E-03   4.9992934511318E-03
  167   -3.2439679529961   -8.6101652641383E-03   4.9655890506141E-03
  168   -3.2484635689622   -8.5616101929926E-03   4.9322900377850E-03
  169   -3.2529580287725   -8.5136899701702E-03   4.8993902378190E-03
  170   -3.2574513541748   -8.4663932617443E-03   4.8668835993176E-03
  171   -3.2619435654200   -8.4197089810947E-03   4.8347641864917E-03
  172   -3.2664346804530   -8.3736262890075E-03   4.8030261835682E-03
  173   -3.2709247155761   -8.3281345907893E-03   4.7716638868446E-03
  174   -3.2754136853817   -8.2832235290022E-03   4.7406717037267E-03
  175   -3.2799016028855   -8.2388829663447E-03   4.7100441496152E-03
  176   -3.2843884794124   -8.1951029960579E-03   4.6797758461107E-03
  177   -3.2888743252703   -8.1518739204849E-03   4.6498615154959E-03
  178   -3.2933591486248   -8.1091862664866E-03   4.6202959850107E-03
  179   -3.2978429572120   -8.0670307444201E-03   4.5910741745519E-03
  180   -3.3023257565368   -8.0253982895965E-03   4.5621911061784E-03
  181   -3.3068075516672   -7.9842800063461E-03   4.5336418907395E-03
  182   -3.3112883463797   -7.9436672072306E-03   4.5054217309234E-03
  183   -3.3157681429441   -7.9035513891796E-03   4.4775259220537E-03
  184   -3.3202469429434   -7.8639242144802E-03   4.4499498440364E-03
  185   -3.3247247470276   -7.8247775379605E-03   4.4226889614926E-03
  186   -3.3292015545255   -7.7861033727560E-03   4.3957388252920E-03
  187   -3.3336773643834   -7.7478939071338E-03   4.3690950633705E-03
  188   -3.3381521742807   -7.7101414838426E-03   4.3427533863991E-03
  189   -3.3426259809986   -7.6728386128965E-03   4.3167095830436E-03
  190   -3.3470987809731   -7.6359779478706E-03   4.2909595147919E-03
  191   -3.3515705697337   -7.5995523040820E-03   4.2654991183720E-03
