l  tau  s   h   p   n   pp  lm  lv  la  lj  ls         Hs1         body
2   0   0   0   0   0   0   0   0   0   0   0  -2.150574677662e-01  MO
4   0   0   0   0   0   0   0   0   0   0   0  +1.358096219378e-05  MO
2   0   0   0   0   0   0   0   0   0   0   0  -9.953529097786e-02  SU
2   0   0   0   0   0   0   0   0   0   0   0  -2.481869249870e-08  ME
2   0   0   0   0   0   0   0   0   0   0   0  -1.206890325167e-06  VE
2   0   0   0   0   0   0   0   0   0   0   0  -3.212682061057e-08  MA
2   0   0   0   0   0   0   0   0   0   0   0  -7.410152474613e-07  JU
2   0   0   0   0   0   0   0   0   0   0   0  -3.447844599310e-08  SA
3   0   0   0   0   0   1   0   0   0   0   0  -1.624068668027e-07  MO
3   0   0   0   0   0   1   0   0   0   0   0  -7.525201224097e-08  SU
2   0   0 -13   0   0   0   0   8   0   0   0  +1.812195773406e-09  VE
3   0   0   0   1  -2   0   0   0   0   0   0  -1.028202974946e-07  MO
2   0   0  -1   0  -1   0   0   0   2   0   0  +2.419518717008e-08  MO
2   0   0   0  -1   1   0   0   0   0   1   0  +2.616011210879e-08  MO
2   0   0   0   1   0   0   0   0   0  -1   0  +3.303200517803e-08  MO
2   0   0   0   0   0   0   0   0   0   0   1  +3.282400996058e-08  MO
2   0   0   0   0   0   0   0   0   0   0   1  +1.444954544752e-08  SU
2   0   0   0   0   0   0   0   0   0   0   1  +5.719120156867e-09  SA
2   0   0 -18   1   1   0   0  11   0   0   0  +1.885418101394e-08  MO
2   0   1  16  -1   1   0   0 -18   0   0   0  +5.564041623825e-08  MO
3   0   0   0   0   1  -4   0   0   0   0   0  -2.300974989676e-08  MO
2   0   0   0   0   1  -2   0   0   0   0   0  -1.129720833767e-06  MO
2   0   0   0   0   1   0   0   0   0   0   0  +2.792242241717e-02  MO
4   0   0   0   0   1   0   0   0   0   0   0  -1.032475697372e-05  MO
2   0   0   0   0   1   0   0   0   0   0   0  +6.366284056734e-06  SU
2   0  -1 -16   1   1   0   0  18   0   0   0  +4.349602392340e-08  MO
3   0   0   0   1  -1   0   0   0   0   0   0  +1.056939837121e-05  MO
5   0   0   0   1  -1   0   0   0   0   0   0  -1.237316739731e-08  MO
2   0   0  18  -1   1   0   0 -11   0   0   0  +1.308806913420e-07  MO
2   0   0  -1   0   0   0   0   0   2   0   0  +4.414012700719e-08  MO
2   0   0  -1   0   0   0   0   0   2   0   0  +1.297845154799e-07  SU
2   0   0  -1   0   0   0   0   0   2   0   0  +2.275140701581e-08  MA
2   0   0  -2  -1   1   0   0   0   4   0   0  +4.080802913424e-08  MO
2   0   0   0   0   0   0   0   0   0   0   2  +2.245541228899e-08  SU
2   0   0   0   0   0   0   0   0   0   0   2  +9.096661373795e-09  SA
2   0   0   5   0  -1   0   0  -3   0   0   0  +2.801946401330e-08  MO
2   0   0  -2   0  -1   0   0   0   4   0   0  +1.056907065893e-07  MO
2   0   0   0   0   0   0   0   0   0   1   0  +3.661551854134e-08  MO
2   0   0   0   0   0   0   0   0   0   1   0  +1.643117840430e-07  SU
2   0   0   0   0   0   0   0   0   0   1   0  +1.095786716567e-07  JU
2   0   0   1   1   1   0   0   0  -2   0   0  +6.371680308070e-08  MO
2   0   0   0   0   2  -2   0   0   0   0   0  +7.148941162892e-08  MO
2   0   0   0   0   2   0   0   0   0   0   0  -2.725552993144e-04  MO
4   0   0   0   0   2   0   0   0   0   0   0  +5.139205932129e-07  MO
2   0   0   0   0   2   0   0   0   0   0   0  -6.193819469064e-08  SU
2   0   0   0   1   0  -1   0   0   0   0   0  -1.441293107527e-06  MO
2   0   0   0   1   0  -1   0   0   0   0   0  -1.942804354490e-08  SU
3   0   0   0   1   0   0   0   0   0   0   0  -2.043538941165e-04  MO
5   0   0   0   1   0   0   0   0   0   0   0  +6.996989984328e-08  MO
3   0   0   0   1   0   2   0   0   0   0   0  +2.431218857016e-08  MO
2   0   0  -1   0   1   0   0   0   2   0   0  +1.801797639622e-08  MO
2   0   0   5   0   0   0   0  -3   0   0   0  +1.660626057971e-07  SU
2   0   0   5   0   0   0   0  -3   0   0   0  +2.911029842188e-07  VE
2   0   0  -2   0   0   0   0   0   4   0   0  +1.537209578910e-08  MA
2   0   0   0   1  -1   0   0   0   0   0   2  +4.831621688972e-08  MO
2   0   0   0   1  -1   0   0   0   0   0   2  +5.643943822317e-08  SU
2   0   0  -8   0   0   0   0   5   0   0   0  +3.748780303837e-08  VE
2   0   0  -3  -1   1   0   0   0   6   0   0  +1.125092497817e-08  SU
2   0   0   6   0   0   0   0   0 -11   0   0  +2.860875752431e-09  MA
4   0   0   0   0   3   0   0   0   0   0   0  -7.923168596525e-09  MO
3   0   0   0   1   1   0   0   0   0   0   0  -3.264139242312e-05  MO
2   0   0   0   1   1   1   0   0   0   0   0  +2.384186349365e-08  MO
2   0   0   0   0   0   0   0   0   0   2   0  +7.450407196183e-08  MO
2   0   0   0   0   0   0   0   0   0   2   0  +1.008602612679e-07  SU
2   0   0   0   0   0   0   0   0   0   2   0  +2.234748245032e-07  JU
2   0   0  -1   1   0   0   0   0   2   0   0  +6.090859902091e-08  MO
2   0   0  -3   0   0   0   0   0   6   0   0  +1.972288385117e-08  SU
2   0   0  -3   0   0   0   0   0   6   0   0  +9.772376066255e-09  MA
2   0   0   0   1   0   0   0   0   0   1   0  +2.165058705688e-08  MO
2   0   0   5   0   0   0   0   0  -9   0   0  +5.569428464159e-09  MA
2   0   0   0   0   4   2   0   0   0   0   0  +1.273495591770e-08  SU
3   0   0   0   1   2   0   0   0   0   0   0  +1.775911310035e-06  MO
2   0   0   0   0   1   0   0   0   0   2   0  +3.122293621477e-08  MO
2   0   0   0   2   0  -2   0   0   0   0   0  +2.179052258305e-07  MO
2   0   0   0   2   0   0   0   0   0   0   0  -8.301961177372e-07  MO
4   0   0   0   2   0   0   0   0   0   0   0  +6.298738139977e-08  MO
2   0   0  10   0   0   0   0  -6   0   0   0  +5.759714150189e-09  VE
2   0   0  -3   0   0   0   0   2   0   0   0  +1.430850134292e-07  VE
2   0   0   0   1   1   0   0   0   0   1   0  +4.823586690991e-07  SU
2   0   0   0   0   0   0   0   0   0   3   0  +2.628014479671e-08  SU
2   0   0   0   0   0   0   0   0   0   3   0  +3.758815583100e-08  JU
2   0   0  -4   0   0   0   0   0   8   0   0  +5.362408896888e-09  MA
2   0   0 -16   0   0   0   0  10   0   0   0  +1.519942425231e-09  VE
2   0   0   4   0   0   0   0   0  -7   0   0  +2.616221347533e-08  SU
2   0   0   4   0   0   0   0   0  -7   0   0  +9.783352958533e-09  MA
2   0   0   0   2   1   0   0   0   0   0   0  +3.785697191190e-05  MO
4   0   0   0   2   1   0   0   0   0   0   0  +9.406501530121e-09  MO
2   0   0  -3   0   1   0   0   2   0   0   0  +1.925330278621e-08  MO
2   0   0  -5   0   0   0   0   0  10   0   0  +2.653663923996e-09  MA
2   0   0   0   2   2   0   0   0   0   0   0  +1.454538185258e-05  MO
2   0   0   0   0   0   0   0   0   0   4   0  +4.435120007868e-09  JU
2   0   0   3   0   0   0   0   0  -5   0   0  +6.198335952376e-08  SU
2   0   0   3   0   0   0   0   0  -5   0   0  +1.473581120686e-08  MA
2   0   0   2   0   0   0   0  -1   0   0   0  +3.874998264909e-08  SU
2   0   0   2   0   0   0   0  -1   0   0   0  +1.317753040974e-07  VE
2   0   0 -11   0   0   0   0   7   0   0   0  +5.800475364350e-09  VE
2   0   0   0   2   3   0   0   0   0   0   0  -8.773009830919e-07  MO
3   0   0   0   3   1   0   0   0   0   0   0  +1.429064655538e-08  MO
2   0   0   2   0   0   0   0   0  -3   0   0  +1.508841962918e-07  SU
2   0   0   2   0   0   0   0   0  -3   0   0  +2.238886392350e-08  MA
3   0   0   0   3   2   0   0   0   0   0   0  +1.215609428508e-08  MO
2   0   0  -6   0  -1   0   0   4   0   0   0  +3.798807028827e-08  MO
2   0   0   1   0   0   0   0   0  -1   0   0  +1.039275356062e-07  SU
2   0   0   1   0   0   0   0   0  -1   0   0  +5.361945106204e-08  MA
2   0   0   7   0   0   0   0  -4   0   0   0  +3.613079269225e-08  VE
2   0   0  -6   0   0   0   0   4   0   0   0  +4.336099940621e-08  MO
2   0   0  -6   0   0   0   0   4   0   0   0  +7.305535132635e-08  SU
2   0   0  -6   0   0   0   0   4   0   0   0  +2.765533268779e-07  VE
2   0   0   0   0   0   0   0   0   1   0   0  +1.783092624886e-08  SU
2   0   0   0   0   0   0   0   0   1   0   0  +1.952967810079e-08  MA
2   0   0  -1   0  -1   0   0   1   0   0   0  +4.697454402486e-08  MO
