#    n         h                k                l
     1  -0.28566759E+00   0.00000000E+00   0.10358232E+00
     2  -0.99079949E+00  -0.30516104E+00   0.23286695E-01
     3  -0.10499631E+01  -0.19585733E+00   0.69892136E-01
     4  -0.10526477E+01  -0.13352284E+00   0.58670467E-01
     5  -0.10855918E+01  -0.10456531E+00   0.46165153E-01
     6  -0.11431163E+01  -0.90184841E-01   0.38586926E-01
     7  -0.12116273E+01  -0.81906787E-01   0.34198827E-01
     8  -0.12831157E+01  -0.76379141E-01   0.31474998E-01
     9  -0.13538554E+01  -0.72250183E-01   0.29624407E-01
    10  -0.14223516E+01  -0.68934145E-01   0.28273961E-01
    11  -0.14881117E+01  -0.66147992E-01   0.27242278E-01
    12  -0.15510428E+01  -0.63736253E-01   0.26431124E-01
    13  -0.16111895E+01  -0.61602870E-01   0.25779507E-01
    14  -0.16686329E+01  -0.59683159E-01   0.25245139E-01
    15  -0.17234569E+01  -0.57931180E-01   0.24796803E-01
    16  -0.17757418E+01  -0.56313294E-01   0.24410861E-01
    17  -0.18255646E+01  -0.54804452E-01   0.24069336E-01
    18  -0.18730019E+01  -0.53385807E-01   0.23758645E-01
    19  -0.19181321E+01  -0.52043088E-01   0.23468646E-01
    20  -0.19610366E+01  -0.50765423E-01   0.23191893E-01
    21  -0.20018000E+01  -0.49544487E-01   0.22923032E-01
    22  -0.20405101E+01  -0.48373866E-01   0.22658321E-01
    23  -0.20772571E+01  -0.47248575E-01   0.22395242E-01
    24  -0.21121328E+01  -0.46164708E-01   0.22132200E-01
    25  -0.21452296E+01  -0.45119160E-01   0.21868280E-01
    26  -0.21766398E+01  -0.44109431E-01   0.21603063E-01
    27  -0.22064546E+01  -0.43133464E-01   0.21336479E-01
    28  -0.22347634E+01  -0.42189540E-01   0.21068700E-01
    29  -0.22616531E+01  -0.41276184E-01   0.20800053E-01
    30  -0.22872080E+01  -0.40392105E-01   0.20530962E-01
    31  -0.23115088E+01  -0.39536148E-01   0.20261897E-01
    32  -0.23346328E+01  -0.38707260E-01   0.19993346E-01
    33  -0.23566536E+01  -0.37904463E-01   0.19725790E-01
    34  -0.23776409E+01  -0.37126837E-01   0.19459686E-01
    35  -0.23976605E+01  -0.36373510E-01   0.19195459E-01
    36  -0.24167746E+01  -0.35643644E-01   0.18933494E-01
    37  -0.24350414E+01  -0.34936432E-01   0.18674136E-01
    38  -0.24525156E+01  -0.34251094E-01   0.18417687E-01
    39  -0.24692484E+01  -0.33586873E-01   0.18164407E-01
    40  -0.24852876E+01  -0.32943035E-01   0.17914518E-01
    41  -0.25006779E+01  -0.32318866E-01   0.17668203E-01
    42  -0.25154609E+01  -0.31713675E-01   0.17425613E-01
    43  -0.25296755E+01  -0.31126789E-01   0.17186866E-01
    44  -0.25433577E+01  -0.30557557E-01   0.16952053E-01
    45  -0.25565412E+01  -0.30005347E-01   0.16721240E-01
    46  -0.25692574E+01  -0.29469547E-01   0.16494470E-01
    47  -0.25815353E+01  -0.28949568E-01   0.16271769E-01
    48  -0.25934022E+01  -0.28444838E-01   0.16053144E-01
    49  -0.26048833E+01  -0.27954806E-01   0.15838586E-01
    50  -0.26160021E+01  -0.27478940E-01   0.15628077E-01
    51  -0.26267805E+01  -0.27016729E-01   0.15421585E-01
    52  -0.26372389E+01  -0.26567679E-01   0.15219071E-01
    53  -0.26473964E+01  -0.26131317E-01   0.15020486E-01
    54  -0.26572706E+01  -0.25707185E-01   0.14825779E-01
    55  -0.26668781E+01  -0.25294846E-01   0.14634888E-01
    56  -0.26762345E+01  -0.24893877E-01   0.14447752E-01
